age_group,protection_rounded,proportion
0,0.0,0.1614065180102916
0,0.1,0.0
0,0.2,0.0
0,0.30000000000000004,0.0
0,0.4,0.15677530017152658
0,0.5,0.3725557461406518
0,0.6,0.10600343053173242
0,0.7,0.1595197255574614
0,0.8,0.04202401372212693
0,0.9,0.0017152658662092624
1,0.0,0.15883872929016568
1,0.1,0.0
1,0.2,0.0
1,0.3,0.0001519987840097279
1,0.4,0.1632466940264478
1,0.5,0.36373309013527894
1,0.6,0.10898312813497492
1,0.7,0.1643106855145159
1,0.8,0.038911688706490345
1,0.9,0.001823985408116735
2,0.0,0.08798499927881148
2,0.1,0.0
2,0.2,0.00014423770373575654
2,0.3,0.011539016298860522
2,0.4,0.21318332612144814
2,0.5,0.35294966104139625
2,0.6,0.11452473676619068
2,0.7,0.17135439203807876
2,0.8,0.04572335208423482
2,0.9,0.0025962786672436176
3,0.0,0.0004048036702199433
3,0.1,0.0
3,0.2,0.0
3,0.3,0.0004048036702199433
3,0.4,0.1756847928754554
3,0.5,0.4404263931992983
3,0.6,0.13250573471866145
3,0.7,0.19174200512751316
3,0.8,0.055188233706652275
3,0.9,0.00364323303197949
4,0.0,0.0
4,0.1,0.0
4,0.2,0.0
4,0.30000000000000004,0.0
4,0.4,0.17148876404494381
4,0.5,0.4377808988764045
4,0.6,0.1300561797752809
4,0.7,0.20014044943820225
4,0.8,0.05533707865168539
4,0.9,0.0051966292134831464
5,0.0,0.009564735237039091
5,0.1,0.0
5,0.2,0.0
5,0.3,0.013446077072359302
5,0.4,0.1924036595508733
5,0.5,0.4021347380094261
5,0.6,0.12919323537565844
5,0.7,0.1820072082062656
5,0.8,0.06515109509287496
5,0.9,0.006099251455503188
6,0.0,0.018944961620120857
6,0.1,0.0
6,0.2,0.0
6,0.3,0.056018291687081494
6,0.4,0.1569492079046219
6,0.5,0.2769884043769394
6,0.6,0.08574228319451249
6,0.7,0.19745222929936307
6,0.8,0.1853666503348032
6,0.9,0.02253797158255757
7,0.0,0.01667735728030789
7,0.1,0.0
7,0.2,0.00021381227282446012
7,0.3,0.08060722685482147
7,0.4,0.05601881548000855
7,0.5,0.11652768868933076
7,0.6,0.07205473594184306
7,0.7,0.35321787470600813
7,0.8,0.28116313876416504
7,0.9,0.023519350010690613
8,0.0,0.01098901098901099
8,0.1,0.0
8,0.2,0.0
8,0.3,0.08875739644970414
8,0.4,0.04818258664412511
8,0.5,0.11031276415891801
8,0.6,0.1466610312764159
8,0.7,0.4095519864750634
8,0.8,0.16906170752324598
8,0.9,0.016483516483516484
