age_group,protection_rounded,proportion
0,0.0,0.26586305039343716
0,0.1,0.09392265193370165
0,0.2,0.3462246777163904
0,0.3,0.06345220157374853
0,0.4,0.09593169261677549
0,0.5,0.08538422903063787
0,0.6,0.036999832579943076
0,0.7,0.009542943244600702
0,0.8,0.0016742005692281935
0,0.9,0.0010045203415369162
1,0.0,0.2516228748068006
1,0.1,0.10556414219474498
1,0.2,0.35224111282843895
1,0.3,0.0704791344667697
1,0.4,0.09520865533230294
1,0.5,0.07666151468315302
1,0.6,0.03523956723338485
1,0.7,0.010200927357032458
1,0.8,0.0027820710973724882
1,0.9,0.0
2,0.0,0.1394196744515216
2,0.1,0.2021231422505308
2,0.2,0.3571125265392781
2,0.3,0.07530077848549187
2,0.4,0.09115357395612173
2,0.5,0.0840764331210191
2,0.6,0.03397027600849257
2,0.7,0.013305024769992922
2,0.8,0.0029723991507431
2,0.9,0.0005661712668082095
3,0.0,0.011208642808912896
3,0.1,0.13409858203916272
3,0.2,0.4559081701553005
3,0.3,0.09385550303848751
3,0.4,0.12856178257933829
3,0.5,0.1062795408507765
3,0.6,0.04915597569209993
3,0.7,0.014449696151249155
3,0.8,0.005941931127616476
3,0.9,0.0005401755570560432
4,0.0,0.019988817444786134
4,0.1,0.15571708135308918
4,0.2,0.42284036902432204
4,0.3,0.09463237349734414
4,0.4,0.1284596030192899
4,0.5,0.10413754542913056
4,0.6,0.05046128040257199
4,0.7,0.01761252446183953
4,0.8,0.005451495666759855
4,0.9,0.0006989097008666481
5,0.0,0.032129616916106
5,0.1,0.22833996979266785
5,0.2,0.37978854867499656
5,0.3,0.08320746944940272
5,0.4,0.10737333516408074
5,0.5,0.09419195386516545
5,0.6,0.045036386104627214
5,0.7,0.021968968831525472
5,0.8,0.007963751201427983
5,0.9,0.0
6,0.0,0.028336686787391013
6,0.1,0.22367538564721665
6,0.2,0.26794097920858484
6,0.3,0.04896042924211938
6,0.4,0.07142857142857142
6,0.5,0.10731052984574112
6,0.6,0.11753856472166331
6,0.7,0.10077129443326627
6,0.8,0.03319919517102616
6,0.9,0.0008383635144198525
7,0.0,0.021109902067464634
7,0.1,0.14668117519042437
7,0.2,0.11077257889009794
7,0.3,0.020674646354733407
7,0.4,0.09423286180631121
7,0.5,0.2398258977149075
7,0.6,0.20544069640914037
7,0.7,0.12165397170837867
7,0.8,0.03917301414581066
7,0.9,0.0004352557127312296
8,0.0,0.028156996587030716
8,0.1,0.12329351535836178
8,0.2,0.11220136518771331
8,0.3,0.055034129692832764
8,0.4,0.2098976109215017
8,0.5,0.24573378839590443
8,0.6,0.128839590443686
8,0.7,0.06911262798634812
8,0.8,0.027303754266211604
8,0.9,0.0004266211604095563
